what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605174152698
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1605174155588
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1605174160100
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-1]', --device=1, --instance=0, --stop] return code: 4, 'other error'",1605174161015
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-1]', --device=1, --instance=0, --go, /cygdrive/c/Users/Cyprien/Documents/GIT/TP_VHDL/NIOS/CPU_NMEA/software/HelloWorld/HelloWorld.elf] return code: 4, 'other error'",1605174167352
error,log,,,"Downloading ELF Process failed",1605174167353
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605174167382
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605174168473
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1605174176033
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605174179634
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605174180985
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1605174180998
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1605174180998
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605174191833
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1605174194470
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605174194506
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1605174194545
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1605174194545
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605174201163
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605174313384
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605174314174
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605174320463
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605174322307
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605174394887
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605174404781
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605174408975
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1605174410314
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605174414381
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605174416041
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605174421436
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605174452183
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605174479412
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605174519667
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1605174520542
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605174520622
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605174524961
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1605174526400
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1605174530036
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1605174536302
no handler,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1605174545768
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1605174546573
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1605174547313
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1605174547729
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1605174550544
